trigger,data_policy,training_policy,replica,trajectory_index,start_frame,budget_frames,kl_ref_to_est,coverage,retrain_count,total_train_seconds,train_equivalent_frames,marginal_gain_sum,final_train_vamp2,final_validation_vamp2,final_epochs_run,test_vamp2,monitor_vamp2_mean,monitor_vamp2_std
Threshold-delta,Reweighted-Full,Fixed-50ep,2,2,145066,25000,0.1566623953226841,0.36328125,2,0.3726279299999078,9144.737609016458,1.8014853805075005e-05,0.3652953746505054,0.05972717653236295,50,0.2826560616480747,0.32406878271829326,0.23943280363403774
Threshold-delta,Reweighted-Full,Fixed-200ep,2,2,162978,25000,0.1622509681410909,0.3559027777777778,1,0.6879792290001205,16883.83779944006,8.856982614018457e-06,0.9534155044865814,0.006282559335432632,200,0.7686583136369627,0.3498044608608456,0.231803159158639
Threshold-delta,Reweighted-Full,EarlyStopping,2,2,113564,25000,0.1747358965213062,0.3407118055555556,1,0.003399970999907964,83.43937791359694,0.0036098629387364654,0.12305718110080244,0.8987187248407636,1,0.24592821838191495,0.37165587699172703,0.26246645279826714
Threshold-delta,Reweighted-Window,Fixed-50ep,2,2,101492,25000,0.17417039832943504,0.3454861111111111,1,0.20689020199984043,5077.334410132437,4.680866138968314e-05,0.9111185769968128,0.057596824007882845,50,0.3021508779281641,0.35845870321484236,0.30742927781762625
Threshold-delta,Reweighted-Window,Fixed-200ep,2,2,18989,25000,0.9746622534841974,0.2769097222222222,2,0.9675416400002632,23744.635630512345,2.6498355064662225e-06,0.28420580135708323,0.1517244672437839,200,0.5041806708353439,0.22351786689501787,0.07580251781694695
Threshold-delta,Reweighted-Window,EarlyStopping,2,2,219267,25000,0.9500827430207875,0.2786458333333333,1,0.002926776000094833,71.82660344660852,0.0006240861078389105,0.3098818574402964,0.19538389664973163,1,0.2857000242186463,0.2396605588394845,0.05329913764335578
ADWIN,Full,Fixed-50ep,2,2,178117,25000,0.9668501724808155,0.2795138888888889,0,0.06351825799993094,1558.8144527741727,0.0,0.1568857878041763,0.2302054034608861,50,0.5781358550805448,0.27934407927675386,0.10138307050254812
ADWIN,Full,Fixed-200ep,2,2,182385,25000,0.9646377480683924,0.2777777777777778,0,0.24937979599985738,6120.080154510459,0.0,0.2722611654775282,0.5599883427057512,200,0.28132402849842625,0.25307344839059914,0.10688805504316819
ADWIN,Full,EarlyStopping,2,2,170917,25000,0.9786442311065418,0.2756076388888889,0,0.0015602930000113702,38.2914669823398,0.0,0.2483575672017965,0.023764181323117726,1,0.7614382798746591,0.2666178470766929,0.08220730374873324
ADWIN,Window-W,Fixed-50ep,2,2,50073,25000,0.9617728679754945,0.2808159722222222,0,0.06174640199992609,1515.3309752983705,0.0,0.252872169022975,0.353014580421668,50,0.2460391735004063,0.2716745617501291,0.09016817717480924
ADWIN,Window-W,Fixed-200ep,2,2,31113,25000,0.9622636567282424,0.2782118055555556,0,0.34216080999999576,8397.03783755359,0.0,0.19320187142965287,0.1553008714685484,200,0.23992217866537946,0.21481011232733047,0.09438791947722647
ADWIN,Window-W,EarlyStopping,2,2,33579,25000,0.9677394929272041,0.2751736111111111,0,0.0015147980000165262,37.17496495986618,0.0,0.29420027856514186,0.32528454398784346,1,0.24437939526279182,0.22512525434170813,0.10238958116445948
ADWIN,Reweighted-Full,Fixed-50ep,2,2,149055,25000,0.1769065445402448,0.3606770833333333,0,0.07429884400016817,1823.3830003965427,0.0,0.3210876935756563,0.5059466469919391,50,0.27543473818087555,0.30714760612400377,0.241113181097165
ADWIN,Reweighted-Full,Fixed-200ep,2,2,185627,25000,0.9557654875265006,0.2769097222222222,0,0.26642003199981446,6538.268042400027,0.0,0.2793118978641253,0.2744865837501747,200,0.3066233831334801,0.23558161197751123,0.1034389144419861
ADWIN,Reweighted-Full,EarlyStopping,2,2,95900,25000,0.2297089048098448,0.3585069444444444,0,0.001898276000019905,46.58597633752158,0.0,0.9376702314871398,0.0017078883321663576,1,0.3053388403720763,0.3811753453862386,0.3109978066446877
ADWIN,Reweighted-Window,Fixed-50ep,2,2,79604,25000,0.1402688150856429,0.3563368055555556,0,0.06492230200001359,1593.2713813577946,0.0,0.3695187230910261,0.3617338184715169,50,0.8732912905247019,0.3670378344052339,0.22687045366045822
ADWIN,Reweighted-Window,Fixed-200ep,2,2,200633,25000,0.9531602010991939,0.2799479166666667,0,0.4062045329999364,9968.747833471325,0.0,0.10367415336069921,0.006313984551923757,200,0.284204257565542,0.2232842389874143,0.0767314590314965
